run_id,count,improve_n,worse_n,0504_plus_candidate_oracle_mean,base_mean_on_improved,cand_mean_on_improved
20260504T141132_753153/20260504-01,2,0,0,0.0924442981531759,,
20260504T144034_644144/20260504-01,3,0,0,0.0924442981531759,,
20260504T165133_542259/20260504-01,3,0,0,0.0924442981531759,,
20260504T184555_707193/20260504-01,240,0,0,0.0924442981531759,,
20260506T215759_408242/20260506-01,4,0,0,0.0924442981531759,,
20260507T134007_101870/20260507-light-gapguard-pw-120x15-holdout3-2nc,3,0,3,0.0924442981531759,,
20260507T154457_830534/20260507-light-gapguard-pw-c15safe-120x15-holdout3-2nc,3,0,2,0.0924442981531759,,
20260507T164522_597487/20260507-resume10-patched-c15clean-holdout3-2nc,3,0,3,0.0924442981531759,,
20260507T225230_675507/20260507-resume10-unified-gap-restore-workload-v4-scaled-repair-bad13-2nc,1,0,1,0.0924442981531759,,
20260508T080910_903617/20260508-0504-exact-2nc,9,0,3,0.0924442981531759,,
20260508T095623_676423/20260508-aggressive-state-split-exact-2nc,4,0,1,0.0924442981531759,,
20260509T120208_461921/20260509-resume8-pilot4-neh-short-race-portfolio-2nc,2,0,2,0.0924442981531759,,
20260509T183738_358734/20260509-resume8-pilot4-retained-completion-ladder-only-2nc,4,0,4,0.0924442981531759,,
20260509T184011_918982/20260509-resume8-pilot4-retained-completion-ladder-only-2nc,4,0,4,0.0924442981531759,,
20260509T184301_789898/20260509-resume8-pilot4-incremental-retained-wide-cpdispatch-2nc,3,0,3,0.0924442981531759,,
20260509T185704_845984/20260509-resume8-pilot103-retained-candidate-cp-2nc,1,0,1,0.0924442981531759,,
20260509T225907_976677/20260510-01,3,0,0,0.0924442981531759,,
20260510T002305_652006/20260510-resume18-cmax-cone-wide-sweep-other6-2nc,6,0,4,0.0924442981531759,,
20260510T002305_652006/20260510-resume18-finalcp-only-other6-2nc,6,0,4,0.0924442981531759,,
20260510T003044_622123/20260510-resume18-headtail-free-middle-machine-other6-2nc,6,0,4,0.0924442981531759,,
20260510T003249_044554/20260510-resume18-headtail-free-middle-stage-probe4-2nc,4,0,4,0.0924442981531759,,
20260510T003601_809678/20260510-resume18-headtail-middle030-stage-probe4-2nc,4,0,4,0.0924442981531759,,
20260510T003601_809678/20260510-resume18-headtail-middle050-stage-probe4-2nc,4,0,4,0.0924442981531759,,
20260510T003601_809678/20260510-resume18-headtail-middle070-stage-probe4-2nc,4,0,4,0.0924442981531759,,
20260510T012854_283843/20260510-01,2,0,0,0.0924442981531759,,
20260510T022357_646148/20260510-01,3,0,0,0.0924442981531759,,
20260510T024642_993552/20260510-01,3,0,0,0.0924442981531759,,
20260512T000732_876809/20260511-4-two-lane-retainedseq-cpseed-2nc,3,0,0,0.0924442981531759,,
20260512T090616_751951/20260512-pilot30-guarded-first-neh-portfolio-2nc,8,0,4,0.0924442981531759,,
20260513T070813_152757/20260513-1,3,0,3,0.0924442981531759,,
20260513T111400_814856/20260514-1,4,0,0,0.0924442981531759,,
20260513T123444_793930/20260514-1,3,0,0,0.0924442981531759,,
20260513T125620_690010/20260514-1,1,0,0,0.0924442981531759,,
20260513T134459_311903/20260514-1,4,0,0,0.0924442981531759,,
20260513T144558_656565/20260514-1,1,0,1,0.0924442981531759,,
20260514T171746_923967/20260514-tau-coarsened-init-only-pilot,2,0,2,0.0924442981531759,,
20260514T172221_481238/20260514-tau-coarsened-hint-polish-pilot,3,0,3,0.0924442981531759,,
20260514T173924_805503/20260514-tau-large-dispatchhint-pilot,3,0,3,0.0924442981531759,,
20260514T180143_438823/20260514-tau-small-deep-dispatchhint-pilot,6,0,6,0.0924442981531759,,
20260514T182438_751833/20260514-tau-long-post2-bad-pilot,2,0,2,0.0924442981531759,,
20260514T190507_345333/20260514-tau-restore-stageprobe-only,8,0,8,0.0924442981531759,,
20260514T193249_640887/20260514-tau-restore-stageprobe-tau5-8-10-x2,18,0,18,0.0924442981531759,,
